Dataset: nethept
STREAM: model = inNOut_repeat|  size = 1522
RTIM: k = 200 | theta_ap = 0.8 | reach = 1
------------------------------------------------------------
position  user_id   ap(user)    sigma_old(user)  sigma_new(user)  theta_I   rtim_status                  seed_size imm_status
306       5812      0.00940662  3.15594          2.80954          7.46859   ignored (score too low)      -         -         
307       3523      0           1.56642          1.55397          7.46859   ignored (score too low)      -         -         
308       13389     0           3                -                7.46859   ignored (score too low)      -         -         
309       7490      0           2.175            -                7.46859   ignored (score too low)      -         -         
310       138       0           2.45144          2.42706          7.46859   ignored (score too low)      -         -         
311       5188      0           2.95             -                7.46859   ignored (score too low)      -         -         
312       8123      0           3                -                7.46859   ignored (score too low)      -         -         
313       4660      0           3                -                7.46859   ignored (score too low)      -         -         
314       11409     0           2.06138          -                7.46859   ignored (score too low)      -         -         
315       5506      0           2.18889          -                7.46859   ignored (score too low)      -         -         
316       5623      0           4.28522          -                7.46859   ignored (score too low)      -         -         
317       8065      0           2.11111          -                7.46859   ignored (score too low)      -         -         
318       11616     0           2.41667          -                7.46859   ignored (score too low)      -         -         
319       174       0.0306946   3.5144           2.93991          7.46859   ignored (score too low)      -         -         
320       5038      0           2.11111          -                7.46859   ignored (score too low)      -         -         
321       2080      0.0666667   4.81964          3.60324          7.46859   ignored (score too low)      -         -         
322       11051     0           2.32304          2.24779          7.46859   ignored (score too low)      -         -         
323       1569      0.0140259   4.37674          4.05561          7.46859   ignored (score too low)      -         -         
324       8         0.0655289   6.55948          3.9819           7.46859   ignored (score too low)      -         -         
325       613       0.0348223   7.9397           6.82626          7.46317   ignored (score too low)      -         -         
326       3659      0           2.52285          -                7.46317   ignored (score too low)      -         -         
327       14150     0           1.88297          1.86512          7.46317   ignored (score too low)      -         -         
328       3157      0           3.70614          3.67919          7.46317   ignored (score too low)      -         -         
329       13146     0           2.11111          -                7.46317   ignored (score too low)      -         -         
330       1213      0           2.11326          2.10417          7.46317   ignored (score too low)      -         -         
331       737       0           3.79512          -                7.46317   ignored (score too low)      -         -         
332       14227     0           1.86012          -                7.46317   ignored (score too low)      -         -         
333       7076      0.0111111   2.69377          2.56782          7.46317   ignored (score too low)      -         -         
334       2820      0.017748    4.80239          4.52456          7.46317   ignored (score too low)      -         -         
335       9358      0.0117859   1.59135          1.51408          7.46317   ignored (score too low)      -         -         
336       79        0.0809757   5.14404          2.63085          7.46317   ignored (score too low)      -         -         
337       10255     0           3                -                7.46317   ignored (score too low)      -         -         
338       5179      0           3                -                7.46317   ignored (score too low)      -         -         
339       6483      0           3.62686          -                7.46317   ignored (score too low)      -         -         
340       1515      0.01807     7.06719          6.56773          7.46317   ignored (score too low)      -         targeted  
341       8634      0           2.11111          -                7.46317   ignored (score too low)      -         -         
342       200       0.142584    8.47871          1.74644          7.45464   ignored (score too low)      -         -         
343       3791      0.00416667  6.44518          6.33414          7.45464   ignored (score too low)      -         -         
344       991       0.0995766   4.12411          2.38332          7.45464   ignored (score too low)      -         -         
345       14509     0           2.11111          -                7.45464   ignored (score too low)      -         -         
346       3469      0           2.11111          -                7.45464   ignored (score too low)      -         -         
347       1324      0           3.38333          -                7.45464   ignored (score too low)      -         -         
348       2117      0.0859517   4.776            2.69164          7.45464   ignored (score too low)      -         -         
349       2840      0.0299175   7.23142          6.27004          7.45464   ignored (score too low)      -         targeted  
350       5026      0           1.55556          -                7.45464   ignored (score too low)      -         -         
351       8556      0           3.10889          -                7.45464   ignored (score too low)      -         -         
352       66        1           9.39562          -                7.45464   ignored (already targeted)   -         targeted  
353       1466      0.0778142   2.43772          0.74263          7.45464   ignored (score too low)      -         -         
354       6481      0           3.52161          -                7.45464   ignored (score too low)      -         -         
355       6318      0.305664    2.70209          1.28022          7.45464   ignored (score too low)      -         -         
356       3770      0           7.96871          -                7.45464   targeted                     15        targeted  
357       2387      0           1.97167          -                7.42793   ignored (score too low)      -         -         
