id,simulations,score
374,2000,2.2275
374,3000,2.208
374,5000,2.407
374,7000,2.30857
374,9000,2.33222
374,10000,2.2954
380,1,1
380,10,9.4
380,100,5.6
380,1000,4.604
380,2000,4.994
380,3000,4.67467
380,5000,4.635
380,7000,4.84171
380,9000,4.79233
380,10000,4.8205
386,1,1
386,10,6.3
386,100,8.65
386,1000,7.32
386,2000,7.284
386,3000,7.161
386,5000,7.2202
386,7000,7.265
386,9000,7.20367
386,10000,7.1634
387,1,1
387,10,3.4
387,100,4.83
387,1000,5.592
387,2000,5.105
387,3000,5.08433
387,5000,5.329
387,7000,5.11829
387,9000,5.25367
387,10000,5.293
389,1,3
389,10,6.8
389,100,7.68
389,1000,5.462
389,2000,5.4725
389,3000,5.89733
389,5000,5.8824
389,7000,5.86429
389,9000,5.77211
389,10000,5.8116
394,1,1
394,10,3.7
394,100,2.71
394,1000,3.219
394,2000,2.9155
394,3000,3.10667
394,5000,2.9358
394,7000,3.12371
394,9000,3.07789
394,10000,2.9183
453,1,2
453,10,2
453,100,2
453,1000,2
453,2000,2
453,3000,2
453,5000,2
453,7000,2
453,9000,2
453,10000,2
479,1,1
479,10,1.6
479,100,1.42
479,1000,1.674
479,2000,1.696
479,3000,1.74767
479,5000,1.7294
479,7000,1.72386
479,9000,1.74767
479,10000,1.6921
493,1,1
493,10,1.7
493,100,1.59
493,1000,1.72
493,2000,1.8165
493,3000,1.63033
493,5000,1.7352
493,7000,1.65843
493,9000,1.80822
493,10000,1.7067
516,1,2
516,10,2.4
516,100,3.7
516,1000,4.659
516,2000,5.1055
516,3000,4.926
516,5000,4.7798
516,7000,5.04914
516,9000,4.74589
516,10000,4.9331
528,1,6
528,10,1.4
528,100,5.08
528,1000,6.269
528,2000,6.2285
528,3000,6.48133
528,5000,6.8376
528,7000,6.569
528,9000,6.47
528,10000,6.337
532,1,1
532,10,2.1
532,100,2.87
532,1000,2.824
532,2000,3.006
532,3000,3.035
532,5000,2.929
532,7000,3.042
532,9000,2.91689
532,10000,2.8835
533,1,7
533,10,4.9
533,100,4.36
533,1000,5.394
533,2000,5.356
533,3000,5.51233
533,5000,5.3926
533,7000,5.41843
533,9000,5.36067
533,10000,5.4316
556,1,23
556,10,5.3
556,100,12.68
556,1000,13.017
556,2000,11.7945
556,3000,12.756
556,5000,12.214
556,7000,12.2391
556,9000,12.5338
556,10000,12.2955
559,1,18
559,10,17.2
559,100,24.41
559,1000,23.509
559,2000,24.519
559,3000,24.6673
559,5000,24.806
559,7000,24.2397
559,9000,24.3603
559,10000,24.1939
592,1,11
592,10,34.7
592,100,31.62
592,1000,27.924
592,2000,27.631
592,3000,26.7837
592,5000,27.615
592,7000,26.2829
592,9000,27.0126
592,10000,27.0984
599,1,15
599,10,33.9
599,100,27.94
599,1000,29.359
599,2000,29.2535
599,3000,27.942
599,5000,28.5276
599,7000,28.361
599,9000,28.1472
599,10000,27.9935
603,1,3
603,10,3.6
603,100,5
603,1000,6.916
603,2000,6.6135
603,3000,6.75167
603,5000,6.9714
603,7000,6.76557
603,9000,7.08233
603,10000,6.8109
622,1,7
622,10,14.3
622,100,14.82
622,1000,14.939
622,2000,14.8735
622,3000,14.5577
622,5000,14.9088
622,7000,14.8647
622,9000,15.0561
622,10000,15.0918
627,1,2
627,10,8.6
627,100,15.44
627,1000,16.82
627,2000,16.9115
627,3000,17.2723
627,5000,17.3788
627,7000,17.6379
627,9000,17.2643
627,10000,17.6043
662,1,3
662,10,5.4
662,100,3.46
662,1000,3.677
662,2000,3.69
662,3000,3.508
662,5000,3.6132
662,7000,3.60514
662,9000,3.62411
662,10000,3.6102
669,1,1
669,10,2.9
669,100,2.65
669,1000,2.426
669,2000,2.6735
669,3000,2.662
669,5000,2.701
669,7000,2.65914
669,9000,2.62711
669,10000,2.6572
683,1,6
683,10,5.9
683,100,6.46
683,1000,5.3
683,2000,5.498
683,3000,5.744
683,5000,5.445
683,7000,5.63443
683,9000,5.55656
683,10000,5.3806
701,1,1
701,10,1.5
701,100,2.25
701,1000,3.081
701,2000,2.6485
701,3000,2.91033
701,5000,2.8348
701,7000,2.90043
701,9000,3.04411
701,10000,2.9967
706,1,1
706,10,3.2
706,100,6
706,1000,5.707
706,2000,5.8195
706,3000,5.71167
706,5000,5.703
706,7000,5.89471
706,9000,5.84767
706,10000,5.9695
708,1,3
708,10,2.6
708,100,4.76
708,1000,4.449
708,2000,4.831
708,3000,5.014
708,5000,5.0226
708,7000,4.88814
708,9000,4.908
708,10000,4.8122
709,1,5
709,10,21.3
709,100,26.6
709,1000,23.24
709,2000,23.03
709,3000,24.3813
709,5000,24.3734
709,7000,23.643
709,9000,23.9947
709,10000,24.2791
720,1,31
720,10,9.7
720,100,5.53
720,1000,6.645
720,2000,6.2035
720,3000,5.98433
720,5000,5.8708
720,7000,5.955
720,9000,6.04211
720,10000,6.0807
727,1,1
727,10,1.9
727,100,1.93
727,1000,1.802
727,2000,1.877
727,3000,1.954
727,5000,1.9356
727,7000,1.92986
727,9000,1.93722
727,10000,1.9255
835,1,3
835,10,14.3
835,100,8.91
835,1000,12.369
835,2000,11.394
835,3000,11.8813
835,5000,11.0332
835,7000,11.7756
835,9000,11.3559
835,10000,11.7609
841,1,1
841,10,2.8
841,100,3.77
841,1000,3.577
841,2000,3.957
841,3000,3.87467
841,5000,3.995
841,7000,3.97114
841,9000,4.08378
841,10000,3.8012
846,1,6
846,10,1.1
846,100,2.5
846,1000,2.753
846,2000,2.469
846,3000,2.46667
846,5000,2.5702
846,7000,2.57771
846,9000,2.52511
846,10000,2.6049
857,1,4
857,10,5.8
857,100,5.15
857,1000,4.825
857,2000,4.819
857,3000,4.83
857,5000,4.858
857,7000,4.81286
857,9000,4.819
857,10000,4.8396
876,1,12
876,10,5.9
876,100,9.92
876,1000,8.606
876,2000,8.284
876,3000,8.34267
876,5000,8.7454
876,7000,8.26971
876,9000,8.75856
876,10000,8.5774
882,1,1
882,10,1.7
882,100,4.18
882,1000,4.758
882,2000,5.205
882,3000,5.326
882,5000,4.9114
882,7000,5.04614
882,9000,5.07056
882,10000,5.2096
930,1,1
930,10,1.5
930,100,4.3
930,1000,4.898
930,2000,4.4075
930,3000,4.62067
930,5000,4.6572
930,7000,4.34786
930,9000,4.38567
930,10000,4.8074
944,1,4
944,10,11.3
944,100,15.92
944,1000,14.439
944,2000,13.0425
944,3000,14.1113
944,5000,14.1458
944,7000,14.0976
944,9000,13.54
944,10000,13.8682
965,1,2
965,10,2
965,100,2
965,1000,2
965,2000,2
965,3000,2
965,5000,2
965,7000,2
965,9000,2
965,10000,2
986,1,1
986,10,1.3
986,100,1.82
986,1000,1.992
986,2000,2.0015
986,3000,1.92533
986,5000,1.8958
986,7000,1.92686
986,9000,1.96756
986,10000,1.9116
1062,1,1
1062,10,2.6
1062,100,3.92
1062,1000,4.058
1062,2000,4.112
1062,3000,4.418
1062,5000,4.2468
1062,7000,4.21914
1062,9000,4.20922
1062,10000,4.2054
1078,1,4
1078,10,7.9
1078,100,14.24
1078,1000,10.347
1078,2000,11.217
1078,3000,10.4883
1078,5000,10.741
1078,7000,10.7567
1078,9000,10.4739
1078,10000,10.7937
1111,1,1
1111,10,3.4
1111,100,1.82
1111,1000,1.82
1111,2000,1.7285
1111,3000,1.72733
1111,5000,1.7384
1111,7000,1.70157
1111,9000,1.715
1111,10000,1.6901
1127,1,5
1127,10,6
1127,100,7.32
1127,1000,6.7
1127,2000,6.357
1127,3000,6.51633
1127,5000,6.5282
1127,7000,6.57343
1127,9000,6.55533
1127,10000,6.6441
1128,1,2
1128,10,2
1128,100,2
1128,1000,2
1128,2000,2
1128,3000,2
1128,5000,2
1128,7000,2
1128,9000,2
1128,10000,2
1137,1,1
1137,10,4
1137,100,3.41
1137,1000,3.684
1137,2000,3.8125
1137,3000,3.76033
1137,5000,3.8056
1137,7000,3.72871
1137,9000,3.74322
1137,10000,3.656
1158,1,1
1158,10,1.7
1158,100,2.58
1158,1000,3.105
1158,2000,2.8645
1158,3000,3.34467
1158,5000,2.9682
1158,7000,3.30686
1158,9000,3.20656
1158,10000,2.9937
1181,1,2
1181,10,2
1181,100,2
1181,1000,2
1181,2000,2
1181,3000,2
1181,5000,2
1181,7000,2
1181,9000,2
1181,10000,2
1212,1,5
1212,10,7.7
1212,100,7.27
1212,1000,7.578
1212,2000,7.8085
1212,3000,7.73867
1212,5000,7.7212
1212,7000,7.696
1212,9000,7.83033
1212,10000,7.7877
1230,1,1
1230,10,2.4
1230,100,1.86
1230,1000,2.363
1230,2000,2.3775
1230,3000,2.338
1230,5000,2.4198
1230,7000,2.38386
1230,9000,2.41778
1230,10000,2.4101
1246,1,2
1246,10,4
1246,100,3.72
1246,1000,2.427
1246,2000,2.472
1246,3000,2.396
1246,5000,2.3322
1246,7000,2.35643
1246,9000,2.44444
1246,10000,2.418
1248,1,2
1248,10,2.1
1248,100,2.36
1248,1000,2.255
1248,2000,2.2785
1248,3000,2.22133
1248,5000,2.2666
1248,7000,2.251
1248,9000,2.25278
1248,10000,2.2415
1253,1,2
1253,10,2.6
1253,100,2.25
1253,1000,2.28
1253,2000,2.244
1253,3000,2.25667
1253,5000,2.2442
1253,7000,2.24686
1253,9000,2.25
1253,10000,2.2584
1269,1,2
1269,10,1.6
1269,100,2.08
1269,1000,2.269
1269,2000,2.832
1269,3000,2.34767
1269,5000,2.4728
1269,7000,2.59471
1269,9000,2.51022
1269,10000,2.5502
1273,1,1
1273,10,1.3
1273,100,1.73
1273,1000,2.028
1273,2000,1.7265
1273,3000,1.64567
1273,5000,1.7024
1273,7000,1.73886
1273,9000,1.594
1273,10000,1.757
1308,1,2
1308,10,5.4
1308,100,6.11
1308,1000,4.73
1308,2000,5.154
1308,3000,5.15367
1308,5000,5.0478
1308,7000,5.255
1308,9000,5.23089
1308,10000,5.3712
1315,1,1
1315,10,1
1315,100,1.14
1315,1000,1.679
1315,2000,1.57
1315,3000,1.73667
1315,5000,1.742
1315,7000,1.74571
1315,9000,1.68978
1315,10000,1.7904
1338,1,4
1338,10,6.7
1338,100,8.53
1338,1000,8.277
1338,2000,8.479
1338,3000,8.33867
1338,5000,8.388
1338,7000,8.45071
1338,9000,8.44011
1338,10000,8.4279
1350,1,16
1350,10,6.1
1350,100,4.54
1350,1000,4.826
1350,2000,5.008
1350,3000,5.03167
1350,5000,4.8988
1350,7000,5.02371
1350,9000,5.01933
1350,10000,4.9618
1360,1,3
1360,10,1.7
1360,100,1.84
1360,1000,1.868
1360,2000,1.887
1360,3000,1.885
1360,5000,1.8678
1360,7000,1.832
1360,9000,1.89189
1360,10000,1.9108
1361,1,5
1361,10,9.3
1361,100,10.17
1361,1000,10.397
1361,2000,10.6325
1361,3000,10.7223
1361,5000,10.4708
1361,7000,10.9014
1361,9000,10.8781
1361,10000,10.6025
1371,1,1
1371,10,1.9
1371,100,1.39
1371,1000,1.523
1371,2000,1.9425
1371,3000,1.61333
1371,5000,1.6976
1371,7000,1.78957
1371,9000,1.699
1371,10000,1.7779
1376,1,1
1376,10,4
1376,100,2.8
1376,1000,2.742
1376,2000,2.678
1376,3000,2.81967
1376,5000,2.9204
1376,7000,2.87486
1376,9000,2.90089
1376,10000,2.8497
1381,1,2
1381,10,2.1
1381,100,2.05
1381,1000,1.798
1381,2000,1.7065
1381,3000,1.648
1381,5000,1.7294
1381,7000,1.76343
1381,9000,1.75144
1381,10000,1.7448
1389,1,5
1389,10,6.6
1389,100,5.36
1389,1000,6.338
1389,2000,6.0005
1389,3000,6.31733
1389,5000,6.1642
1389,7000,6.01571
1389,9000,5.967
1389,10000,6.0019
1392,1,4
1392,10,10.7
1392,100,12.82
1392,1000,11.153
1392,2000,10.6795
1392,3000,10.645
1392,5000,11.2858
1392,7000,10.9504
1392,9000,11.0813
1392,10000,11.2894
1415,1,2
1415,10,2
1415,100,2
1415,1000,2
1415,2000,2
1415,3000,2
1415,5000,2
1415,7000,2
1415,9000,2
1415,10000,2
1428,1,3
1428,10,6.2
1428,100,2.43
1428,1000,2.737
1428,2000,2.672
1428,3000,2.731
1428,5000,2.73
1428,7000,2.7
1428,9000,2.70411
1428,10000,2.7082
1454,1,2
1454,10,2.6
1454,100,2.81
1454,1000,2.561
1454,2000,2.8755
1454,3000,2.82
1454,5000,2.7808
1454,7000,2.886
1454,9000,2.87811
1454,10000,2.8789
1456,1,2
1456,10,3.8
1456,100,3.82
1456,1000,4.186
1456,2000,4.1475
1456,3000,4.14433
1456,5000,4.0212
1456,7000,4.047
1456,9000,4.05667
1456,10000,4.0899
1459,1,5
1459,10,1
1459,100,1.5
1459,1000,1.683
1459,2000,1.7725
1459,3000,1.77433
1459,5000,1.7366
1459,7000,1.84443
1459,9000,1.75544
1459,10000,1.7051
1474,1,1
1474,10,1.4
1474,100,2.34
1474,1000,3.493
1474,2000,3.464
1474,3000,3.43767
1474,5000,3.3544
1474,7000,3.236
1474,9000,3.09222
1474,10000,3.2514
1475,1,6
1475,10,8.1
1475,100,4.68
1475,1000,4.179
1475,2000,4.223
1475,3000,4.454
1475,5000,4.8136
1475,7000,4.43914
1475,9000,4.498
1475,10000,4.4402
1533,1,2
1533,10,2.8
1533,100,2.31
1533,1000,2.481
1533,2000,2.5055
1533,3000,2.45967
1533,5000,2.4722
1533,7000,2.50814
1533,9000,2.48544
1533,10000,2.4917
1552,1,1
1552,10,1
1552,100,3.6
1552,1000,4.054
1552,2000,4.369
1552,3000,4.641
1552,5000,4.2474
1552,7000,4.526
1552,9000,4.32456
1552,10000,4.5451
1554,1,1
1554,10,1.7
1554,100,2.76
1554,1000,2.755
1554,2000,2.3735
1554,3000,2.36667
1554,5000,2.4372
1554,7000,2.44186
1554,9000,2.43233
1554,10000,2.4819
1610,1,5
1610,10,6.1
1610,100,7.25
1610,1000,7.059
1610,2000,7.3515
1610,3000,7.256
1610,5000,7.1834
1610,7000,7.194
1610,9000,7.224
1610,10000,7.1852
1620,1,7
1620,10,5.6
1620,100,6.46
1620,1000,6.293
1620,2000,6.356
1620,3000,6.366
1620,5000,6.33
1620,7000,6.326
1620,9000,6.32189
1620,10000,6.3299
1640,1,10
1640,10,9.2
1640,100,8.61
1640,1000,10.374
1640,2000,9.812
1640,3000,10.187
1640,5000,10.3816
1640,7000,10.1754
1640,9000,10.1601
1640,10000,10.0556
1653,1,8
1653,10,2.8
1653,100,4.94
1653,1000,5.539
1653,2000,6.717
1653,3000,6.409
1653,5000,6.3104
1653,7000,6.03643
1653,9000,5.86578
1653,10000,6.3753
1666,1,5
1666,10,4.8
1666,100,4.94
1666,1000,5.074
1666,2000,5.1205
1666,3000,5.137
1666,5000,5.0178
1666,7000,5.00543
1666,9000,4.99667
1666,10000,5.0697
1700,1,2
1700,10,7.2
1700,100,5.43
1700,1000,7.589
1700,2000,6.796
1700,3000,6.92267
1700,5000,7.1428
1700,7000,7.16857
1700,9000,6.79644
1700,10000,6.9683
1707,1,5
1707,10,4.6
1707,100,3.61
1707,1000,3.597
1707,2000,3.6525
1707,3000,3.62267
1707,5000,3.6216
1707,7000,3.60786
1707,9000,3.643
1707,10000,3.645
1709,1,1
1709,10,3
1709,100,2.74
1709,1000,2.612
1709,2000,2.549
1709,3000,2.614
1709,5000,2.554
1709,7000,2.604
1709,9000,2.58133
1709,10000,2.5984
1716,1,5
1716,10,3.1
1716,100,3.98
1716,1000,3.335
1716,2000,3.6225
1716,3000,3.51167
1716,5000,3.4922
1716,7000,3.52314
1716,9000,3.50156
1716,10000,3.4927
1736,1,4
1736,10,7.5
1736,100,6.61
1736,1000,7.376
1736,2000,7.457
1736,3000,7.711
1736,5000,7.5372
1736,7000,7.97614
1736,9000,7.90744
1736,10000,7.7999
1747,1,1
1747,10,2.8
1747,100,2.75
1747,1000,3.687
1747,2000,3.7625
1747,3000,3.476
1747,5000,3.315
1747,7000,3.58
1747,9000,3.53256
1747,10000,3.5048
1756,1,10
1756,10,8.9
1756,100,7.09
1756,1000,8.249
1756,2000,9.0475
1756,3000,8.92733
1756,5000,8.9898
1756,7000,8.56686
1756,9000,8.619
1756,10000,8.5363
1761,1,2
1761,10,2
1761,100,2
1761,1000,2
1761,2000,2
1761,3000,2
1761,5000,2
1761,7000,2
1761,9000,2
1761,10000,2
1775,1,7
1775,10,17.5
1775,100,17.11
1775,1000,18.788
1775,2000,18.5255
1775,3000,19.1727
1775,5000,19.1696
1775,7000,19.3941
1775,9000,19.1858
1775,10000,19.3106
1787,1,4
1787,10,3.2
1787,100,2.81
1787,1000,2.7
1787,2000,2.7505
1787,3000,2.78233
1787,5000,2.768
1787,7000,2.756
1787,9000,2.78633
1787,10000,2.7634
1817,1,1
1817,10,2.6
1817,100,4.48
1817,1000,4.671
1817,2000,4.9195
1817,3000,4.90367
1817,5000,4.9426
1817,7000,4.79857
1817,9000,4.76278
1817,10000,4.8093
1819,1,1
1819,10,3.1
1819,100,2.39
1819,1000,2.64
1819,2000,2.64
1819,3000,2.67433
1819,5000,2.6088
1819,7000,2.62729
1819,9000,2.63911
1819,10000,2.6567
1835,1,2
1835,10,2
1835,100,2
1835,1000,2
1835,2000,2
1835,3000,2
1835,5000,2
1835,7000,2
1835,9000,2
1835,10000,2
1840,1,11
1840,10,6.5
1840,100,2.98
1840,1000,4.556
1840,2000,4.764
1840,3000,4.51567
1840,5000,4.6578
1840,7000,4.67714
1840,9000,4.65511
1840,10000,4.442
1848,1,3
1848,10,3
1848,100,3
1848,1000,3
1848,2000,3
1848,3000,3
1848,5000,3
1848,7000,3
1848,9000,3
1848,10000,3
1858,1,1
1858,10,7.8
1858,100,1.81
1858,1000,1.66
1858,2000,1.816
1858,3000,1.72333
1858,5000,1.6756
1858,7000,1.78714
1858,9000,1.69644
1858,10000,1.6433
1862,1,2
1862,10,2
1862,100,2
1862,1000,2
1862,2000,2
1862,3000,2
1862,5000,2
1862,7000,2
1862,9000,2
1862,10000,2
1863,1,2
1863,10,2.4
1863,100,2.63
1863,1000,2.89
1863,2000,2.7075
1863,3000,2.76
1863,5000,2.762
1863,7000,2.73014
1863,9000,2.84056
1863,10000,2.799
1885,1,4
1885,10,4.5
1885,100,4.36
1885,1000,4.728
1885,2000,4.666
1885,3000,4.43767
1885,5000,4.4476
1885,7000,4.455
1885,9000,4.54144
1885,10000,4.5095
1904,1,4
1904,10,4.3
1904,100,5.71
1904,1000,6.101
1904,2000,6.089
1904,3000,6.17633
1904,5000,6.2362
1904,7000,6.26829
1904,9000,6.16011
1904,10000,6.1025
1926,1,1
1926,10,2.1
1926,100,2.56
1926,1000,2.363
1926,2000,2.4205
1926,3000,2.476
1926,5000,2.451
1926,7000,2.453
1926,9000,2.437
1926,10000,2.4333
1929,1,5
1929,10,2.7
1929,100,2.92
1929,1000,2.864
1929,2000,2.8955
1929,3000,2.84233
1929,5000,2.8688
1929,7000,2.84057
1929,9000,2.85389
1929,10000,2.8585
1935,1,1
1935,10,1.2
1935,100,1.99
1935,1000,1.76
1935,2000,1.717
1935,3000,1.69333
1935,5000,1.9468
1935,7000,1.74829
1935,9000,1.90311
1935,10000,1.8391
1943,1,10
1943,10,16.9
1943,100,11.03
1943,1000,13.35
1943,2000,13.1585
1943,3000,13.0037
1943,5000,12.892
1943,7000,13.1994
1943,9000,12.8561
1943,10000,12.9566
1951,1,1
1951,10,2.8
1951,100,1.88
1951,1000,2.672
1951,2000,2.5115
1951,3000,2.44167
1951,5000,2.4858
1951,7000,2.48157
1951,9000,2.46911
1951,10000,2.4527
1972,1,5
1972,10,1
1972,100,4
1972,1000,2.394
1972,2000,2.274
1972,3000,2.19833
1972,5000,2.5622
1972,7000,2.39514
1972,9000,2.43656
1972,10000,2.4061
1995,1,4
1995,10,2.3
1995,100,4.42
1995,1000,4.452
1995,2000,4.404
1995,3000,4.22467
1995,5000,4.3336
1995,7000,4.17243
1995,9000,4.162
1995,10000,4.1368
2009,1,1
2009,10,2.2
2009,100,3
2009,1000,4.428
2009,2000,3.625
2009,3000,3.871
2009,5000,3.9906
2009,7000,3.819
2009,9000,3.87611
2009,10000,3.9796
2051,1,3
2051,10,2.4
2051,100,2.48
2051,1000,2.204
2051,2000,2.3305
2051,3000,2.281
2051,5000,2.298
2051,7000,2.21743
2051,9000,2.24322
2051,10000,2.2276
2053,1,2
2053,10,4.5
2053,100,4.95
2053,1000,4.893
2053,2000,4.6995
2053,3000,4.69733
2053,5000,4.615
2053,7000,4.71786
2053,9000,4.7
2053,10000,4.6189
2062,1,4
2062,10,7.8
2062,100,6.01
2062,1000,6.454
2062,2000,6.612
2062,3000,6.38167
2062,5000,6.311
2062,7000,6.52814
2062,9000,6.49089
2062,10000,6.3067
2064,1,16
2064,10,11.9
2064,100,7.2
2064,1000,6.576
2064,2000,6.881
2064,3000,6.64467
2064,5000,6.4234
2064,7000,7.01314
2064,9000,6.70622
2064,10000,6.5147
2069,1,2
2069,10,16.6
2069,100,10.57
2069,1000,10.474
2069,2000,10.6275
2069,3000,10.3523
2069,5000,10.618
2069,7000,10.4323
2069,9000,10.2188
2069,10000,10.5587
2073,1,1
2073,10,1
2073,100,1.92
2073,1000,1.642
2073,2000,1.5025
2073,3000,1.66067
2073,5000,1.7292
2073,7000,1.62343
2073,9000,1.72044
2073,10000,1.6849
2078,1,1
2078,10,2.2
2078,100,2.95
2078,1000,3.938
2078,2000,4.2965
2078,3000,4.07
2078,5000,4.3052
2078,7000,4.21629
2078,9000,4.11
2078,10000,4.1351
2079,1,2
2079,10,2.9
2079,100,3.91
2079,1000,3.787
2079,2000,3.2745
2079,3000,3.29533
2079,5000,3.3764
2079,7000,3.40171
2079,9000,3.45367
2079,10000,3.5389
2085,1,1
2085,10,2.3
2085,100,3.45
2085,1000,2.37
2085,2000,2.4725
2085,3000,2.36533
2085,5000,2.3312
2085,7000,2.27657
2085,9000,2.34922
2085,10000,2.3941
2100,1,9
2100,10,7.6
2100,100,7.83
2100,1000,7.746
2100,2000,7.698
2100,3000,7.74467
2100,5000,7.7482
2100,7000,7.75571
2100,9000,7.75144
2100,10000,7.7558
2111,1,1
2111,10,4.4
2111,100,1.82
2111,1000,2.378
2111,2000,2.4675
2111,3000,2.402
2111,5000,2.3822
2111,7000,2.48386
2111,9000,2.40067
2111,10000,2.4312
2118,1,1
2118,10,1.3
2118,100,2.7
2118,1000,3.232
2118,2000,3.075
2118,3000,2.96733
2118,5000,2.9954
2118,7000,3.46614
2118,9000,3.10511
2118,10000,3.1649
2120,1,1
2120,10,1
2120,100,1.12
2120,1000,1.722
2120,2000,1.6045
2120,3000,1.781
2120,5000,1.6394
2120,7000,1.64643
2120,9000,1.62233
2120,10000,1.6946
2122,1,5
2122,10,1.3
2122,100,2.11
2122,1000,2.576
2122,2000,2.622
2122,3000,2.36267
2122,5000,2.501
2122,7000,2.49071
2122,9000,2.66922
2122,10000,2.6558
2141,1,7
2141,10,17.6
2141,100,10.6
2141,1000,9.478
2141,2000,10.1875
2141,3000,10.092
2141,5000,10.1946
2141,7000,10.0337
2141,9000,10.0876
2141,10000,10.0554
2199,1,8
2199,10,32.8
2199,100,14.07
2199,1000,12.36
2199,2000,14.4055
2199,3000,13.308
2199,5000,14.9742
2199,7000,13.9854
2199,9000,13.8611
2199,10000,14.1078
2215,1,3
2215,10,5.1
2215,100,11.9
2215,1000,6.954
2215,2000,6.584
2215,3000,7.344
2215,5000,7.3878
2215,7000,7.02243
2215,9000,7.36189
2215,10000,7.4
2254,1,2
2254,10,4.3
2254,100,3.89
2254,1000,4.052
2254,2000,4.173
2254,3000,4.01867
2254,5000,4.0188
2254,7000,4.07671
2254,9000,4.05611
2254,10000,4.1376
2273,1,3
2273,10,20.2
2273,100,16.63
2273,1000,23.569
2273,2000,22.8915
2273,3000,23.087
2273,5000,23.0574
2273,7000,23.6511
2273,9000,23.2812
