i,score
537,2.8474
538,3.7288
539,7.9404
540,2.5002
541,1.9175
542,6.0849
543,1.3644
544,5.5734
545,11.2764
546,5.8524
547,9.3435
548,4.8747
549,3.2497
550,1.9539
551,3.6046
552,2.3333
553,11.8217
554,3.344
555,4.3885
556,6.0714
557,6.3145
558,4.8873
559,13.79
560,2.437
561,2.7412
562,15.4798
563,17.5715
564,4.8105
565,1.3859
566,8.1691
567,3.4219
568,1.7212
569,3.719
570,5.6284
571,8.2116
572,8.4907
573,3.1852
574,4.4164
575,7.2995
576,1.5167
577,1.3796
578,5.218
579,2.3278
580,4.2257
581,2.3013
582,8.5547
583,3.421
584,4.1834
585,5.2764
586,9.848
587,5.6781
588,1.5087
589,4.1125
590,10.3584
591,2.0082
592,12.2331
593,8.5823
594,1.7064
595,7.3473
596,3.2104
597,7.0213
598,4.2489
599,15.6839
600,3.3096
601,4.9441
602,6.6835
603,4.3593
604,6.591
605,5.7854
606,19.8472
607,5.6555
608,11.7696
609,8.6068
610,7.0347
611,1.4513
612,9.2283
613,11.1733
614,4.2478
615,1.9272
616,2.9397
617,2.4972
618,3.3409
619,2.248
620,2.8998
621,4.8279
622,9.1382
623,2.4213
624,12.375
625,6.7975
626,7.0164
627,7.4936
628,3.2036
629,9.3036
630,1.9202
631,6.7372
632,11.4828
633,1.8986
634,14.5879
635,11.1197
636,6.7982
637,7.2774
638,13.0115
639,22.7645
640,2.9334
641,2.0291
642,7.8397
643,2.0368
644,1.2737
645,3.2486
646,13.7803
647,4.2139
648,5.6196
649,11.9259
650,8.1998
651,6.1153
652,4.8892
653,8.1739
654,6.3487
655,4.4509
656,4.6027
657,10.3473
658,5.981
659,7.3208
660,6.2088
661,11.5506
662,2.9961
663,1.5816
664,2.7708
665,1.6961
666,2.5373
667,5.1827
668,3.6026
669,2.6181
670,4.3673
671,2.5731
672,3.0364
673,3.0157
674,3.0506
675,2.9894
676,3.0412
677,3.0195
678,3.0299
679,3.0391
680,5.1326
681,2.5367
682,12.6539
683,4.2618
684,4.7922
685,2.0314
686,2.8915
687,5.9527
688,9.1992
689,2.4238
690,8.3828
691,2.1629
692,3.6343
693,4.7958
694,1.5515
695,10.8876
696,8.0002
697,1.5672
698,3.5009
699,1.4376
700,5.8205
701,2.0268
702,4.7113
703,1.538
704,3.2924
705,16.3793
706,3.7164
707,4.2645
708,3.2394
709,12.2299
710,1.9238
711,3.6174
712,3.9149
713,5.947
714,2.0616
715,1.5166
716,4.632
717,5.5674
718,6.163
719,1.715
720,3.2295
721,9.7108
722,5.5111
723,6.2468
724,9.4844
725,5.0421
726,4.388
727,1.8163
728,1.2758
729,2
730,2
731,1.6616
732,1.3064
733,5.3939
734,4.2476
735,4.0507
736,7.8951
737,5.3244
738,3.25
739,6.372
740,5.6648
741,10.0425
742,6.4884
743,3.039
744,10.3068
745,2.9745
746,4.2836
747,5.3369
748,2.4884
749,4.6122
750,8.672
751,5.4715
752,8.3496
753,7.1526
754,9.0328
755,1.6402
756,2.4663
757,5.9754
758,5.7783
759,4.7319
760,6.8709
761,2.5358
762,4.0914
763,4.7558
764,1.6956
765,9.4106
766,2.5185
767,2.8627
768,5.8235
769,2.7171
770,6.3754
771,4.2132
772,5.5404
773,5.6112
774,1.5174
775,8.1158
776,4.1892
777,9.9561
778,3.9757
779,4.2681
780,2.8037
781,2.0866
782,1.9182
783,3.2411
784,9.0277
785,3.678
786,5.3945
787,3.3313
788,7.4526
789,4.5386
790,1.7917
791,6.7419
792,2.5532
793,12.4424
794,7.8509
795,2.9245
796,2.532
797,7.6623
798,2.4474
799,7.612
800,8.2306
801,1.9851
802,6.3371
803,1.2171
804,6.6314
805,8.1528
806,5.0708
807,5.657
808,2.5208
809,5.7398
810,2.998
811,2.1811
812,2.0663
813,2.4987
814,4.8672
815,6.2194
816,1.717
817,5.2068
818,2.4863
819,2.1153
820,3.1832
821,2.0749
822,3.2628
823,2.6422
824,2.06
825,1.8128
826,4.3769
827,4.9745
828,10.3534
829,3.9568
830,1.7873
831,2.171
832,2.9474
833,5.1076
834,7.0922
835,7.6363
836,2.1744
837,2.482
838,1.9631
839,11.1592
840,2.133
841,2.9259
842,6.7602
843,3.3773
844,5.4803
845,3.7555
846,2.0354
847,5.5621
848,2.763
849,1.8669
850,8.7225
851,4.8101
852,2.5777
853,2.7608
854,4.7788
855,2.8354
856,2.8213
857,4.5369
858,7.9411
859,2
860,2
861,9.5059
862,6.5099
863,6.7917
864,1.2758
865,2.6813
866,13.5634
867,3.0347
868,1.387
869,1.7642
870,1.2831
871,4.6113
872,4.2851
873,4.3274
874,4.0822
875,8.4175
876,5.6052
877,3.8572
878,2.6915
879,6.68
880,5.2833
881,4.4103
882,2.8966
883,8.0401
884,8.2771
885,12.9724
886,1.3966
887,7.5227
888,4.8507
889,2.6813
890,8.018
891,2
892,2
893,3.5492
894,2.6104
895,4.2612
896,2.5906
897,2.5474
898,3.1523
899,3.4651
900,1.7221
901,4.7209
902,3.4174
903,2.5819
904,2
905,2
906,2.2308
907,3.9985
908,4.519
909,2
910,2
911,6.3441
912,2.8278
913,2
914,2
915,6.5803
916,3.6607
917,5.4668
918,2
919,2
920,5.95
921,1.5238
922,2.4632
923,4.2219
924,3.0441
925,2.4813
926,2.4587
927,5.2823
928,1.6975
929,3.2593
930,2.485
931,1.7409
932,2.2151
933,3.3247
934,2.2134
935,2.2312
936,4.7335
937,4.6825
938,5.2354
939,4.7465
940,4.0439
941,8.3794
942,4.7652
943,2.4696
944,9.4372
945,9.3554
946,2.3001
947,1.8115
948,3.8381
949,2.5101
950,10.227
951,1.2286
952,3.4678
953,8.5769
954,8.5685
955,1.6832
956,4.0612
957,3.7853
958,4.9421
959,5.2584
960,2
961,2
962,1.4295
963,2.0058
964,2
965,2
966,3.054
967,3.6543
968,1.8852
969,6.0164
970,5.2789
971,5.0695
972,7.8646
973,1.2757
974,4.0786
975,2.4863
976,3.0181
977,3.4918
978,3.7714
979,2.0914
980,2.561
981,7.5656
982,4.8058
983,2.4707
984,1.3349
985,10.8182
986,1.8078
987,5.2187
988,5.986
989,13.9463
990,7.0949
991,5.894
992,1.6923
993,2.7
994,2.7253
995,3.4796
996,3.7184
997,5.0102
998,2.7625
999,3.1182
1000,1.6595
1001,3.2973
1002,4.437
1003,2.1294
1004,3.3891
1005,5.119
1006,2.8023
1007,2.7952
1008,2.7929
1009,1.724
1010,5.4465
1011,4.297
1012,2.1826
1013,2.6604
1014,4.9193
1015,2
1016,2
1017,6.0512
1018,5.5188
1019,3.6364
1020,3.9152
1021,1.4843
1022,2.4604
1023,6.0521
1024,5.385
1025,8.8432
1026,2.7415
1027,5.7372
1028,2.1422
1029,4.4157
1030,3.4644
1031,4.1628
1032,9.2703
1033,7.8967
1034,2.0355
1035,4.9989
1036,4.363
1037,6.1287
1038,10.7868
1039,5.7734
1040,2.885
1041,2.7665
1042,1.9498
1043,5.8628
1044,11.5132
1045,5.5597
1046,5.5126
1047,3.4473
1048,4.6028
1049,6.4043
1050,4.2404
1051,4.286
1052,4.7895
1053,2.9461
1054,3.8891
1055,2.0485
1056,1.6313
1057,4.7448
1058,2.2461
1059,9.3796
1060,9.634
1061,2.1988
1062,2.6864
1063,4.127
1064,2.3696
1065,2.3524
1066,1.377
1067,7.2981
1068,1.656
1069,3.009
1070,1.8852
1071,1.8468
1072,1.8547
1073,4.7056
1074,7.8134
1075,2
1076,2
1077,1.4244
1078,8.0055
1079,1.4022
1080,2.0514
1081,1.7801
1082,1.543
1083,1.3173
1084,4.0098
1085,2.4812
1086,4.4526
1087,2.3897
1088,2.7723
1089,2.0031
1090,2.1101
1091,2.1025
1092,2.5903
1093,2.5113
1094,6.9778
1095,2.1472
1096,3.2546
1097,2.1473
1098,8.2314
1099,3.5913
1100,2.7711
1101,3.2264
1102,6.968
1103,10.4282
1104,1.5374
1105,2.7667
1106,2
1107,2
1108,2.4392
1109,2.422
1110,4.3434
1111,1.5711
1112,2
1113,2
1114,3.0762
1115,9.1951
1116,3.0856
1117,5.7861
1118,3.9503
1119,1.6611
1120,3.9837
1121,4.9693
1122,3.0005
1123,1.4983
1124,2
1125,2
1126,1.4221
1127,5.5769
1128,2
1129,2
1130,2
1131,2
1132,1.4636
1133,6.0973
1134,5.0444
1135,1.4882
1136,2.0828
1137,3.2116
1138,6.0118
1139,2
1140,2
1141,2.5693
1142,2.0848
1143,4.5205
1144,1.9915
1145,3.8633
1146,6.588
1147,3.9615
1148,3.9924
1149,1.3146
1150,1.4842
1151,1.8343
1152,5.2483
1153,7.9382
1154,3.7908
1155,3.7247
1156,12.8279
1157,1.7352
1158,1.8292
1159,12.2673
1160,3.9529
1161,2.1757
1162,16.5194
1163,1.9986
1164,3.4473
1165,3.1887
1166,5.4549
1167,2.4327
1168,1.9115
1169,12.5513
1170,1.2919
1171,9.5597
1172,3.4054
1173,1.8751
1174,6.2998
1175,11.1494
1176,2.8936
1177,2.8741
1178,4.5916
1179,5.844
1180,2
1181,2
1182,3.6916
1183,1.3658
1184,4.832
1185,1.483
1186,5.2933
1187,1.3448
1188,10.8586
1189,6.5697
1190,5.3345
1191,3.0879
1192,3.3253
1193,5.5833
1194,3.8297
1195,5.2311
1196,3.7325
1197,3.6589
1198,8.3986
1199,4.6469
1200,1.4821
1201,1.3467
1202,6.8566
1203,2.3363
1204,3.3477
1205,1.5029
1206,3.5313
1207,3.3616
1208,5.835
1209,6.938
1210,6.5342
1211,2.1697
1212,6.4787
1213,2.1692
1214,1.3227
1215,4.7551
1216,2
1217,2
1218,6.2292
1219,4.5149
1220,2.2597
1221,7.4192
1222,4.6806
1223,4.4455
1224,2.4694
1225,2.4858
1226,3.6967
1227,4.6144
1228,2.6962
1229,2.7951
1230,2.2209
1231,2.2186
1232,6.0514
1233,2.7005
1234,2.8887
1235,1.5309
1236,3.5628
1237,3.4508
1238,9.5517
1239,1.5671
1240,6.7899
1241,8.3704
1242,6.0799
1243,4.7153
1244,2.6196
1245,4.2359
1246,1.8778
1247,2.2456
1248,2.2462
1249,2.2423
1250,3.4326
1251,1.4603
1252,2.2445
1253,2.2485
1254,2.2431
1255,1.1634
1256,10.9236
1257,8.2301
1258,1.4351
1259,1.6291
1260,3.732
1261,2.3827
1262,2.9463
1263,4.3876
1264,5.1876
1265,3.1363
1266,4.7492
1267,4.3079
1268,4.6822
1269,1.9593
1270,1.9429
1271,1.6704
1272,3.2936
1273,1.3923
1274,1.6358
1275,3.9737
1276,1.6653
1277,8.8087
1278,2.0212
1279,2
1280,2
1281,1.5183
1282,9.5961
1283,4.5325
1284,1.4865
1285,3.8535
1286,6.8258
1287,1.5285
1288,1.8511
1289,1.6583
1290,7.5219
1291,3.3982
1292,12.9687
1293,2.2144
1294,1.6415
1295,4.1483
1296,4.4496
1297,6.1766
1298,2.5797
1299,4.182
1300,5.0063
1301,1.9228
1302,4.3294
1303,4.0336
1304,4.8667
1305,2.8677
1306,3.1879
1307,4.2957
1308,4.1498
1309,1.9046
1310,3.6093
1311,2.096
1312,11.4633
1313,5.9262
1314,5.9174
1315,1.3311
1316,7.4368
1317,4.5445
1318,4.227
1319,1.763
1320,9.962
1321,2
1322,2
1323,1.7449
1324,3.403
1325,1.7843
1326,4.414
1327,9.6074
1328,2.4887
1329,3.8564
1330,1.4756
1331,3.8947
1332,4.2258
1333,3.3976
1334,1.5319
1335,3.4765
1336,2.2586
1337,3.5311
1338,6.1877
1339,4.8341
1340,2.688
1341,1.8
1342,2.6537
1343,5.4179
1344,2.6529
1345,4.4274
1346,2.5272
1347,3.0259
1348,3.0302
1349,1.6911
1350,4.6906
1351,5.2841
1352,3.0764
1353,3.1062
1354,5.7677
1355,2.9444
1356,1.7629
1357,3.2401
1358,4.3952
1359,2.9741
1360,1.6904
1361,8.8588
1362,4.9532
1363,3.7471
1364,2
1365,2
1366,1.8277
1367,1.5231
1368,1.9629
1369,1.6772
1370,10.7136
1371,1.3679
1372,3.8652
1373,2.1829
1374,3.0961
1375,2.3335
1376,2.3354
1377,3.8611
1378,5.1464
1379,7.7218
1380,3.3497
1381,1.5181
1382,1.5221
1383,4.6916
1384,1.4688
1385,3.3624
1386,2.2202
1387,4.8507
1388,1.9356
1389,4.4
1390,8.0488
1391,7.5779
1392,6.7254
1393,1.7538
1394,7.808
1395,2.1744
1396,2.1663
1397,2.6062
1398,3.0574
1399,3.7102
1400,3.0826
1401,3.7951
1402,4.2433
1403,2.5634
1404,2.943
1405,10.5777
1406,4.5554
1407,3.5827
1408,3.2535
1409,2.36
1410,7.1365
1411,5.3629
1412,2.0627
1413,7.6251
1414,4.9859
1415,2
1416,2
1417,3.9627
1418,2.0697
1419,1.3569
1420,4.0215
1421,4.5991
1422,3.1979
1423,6.5886
1424,3.1935
1425,4.387
1426,3.1677
1427,2.7046
1428,2.566
1429,11.6119
1430,1.5511
1431,1.7982
1432,1.9309
1433,1.9115
1434,10.708
1435,5.6351
1436,4.2009
1437,2.0739
1438,3.4682
1439,2
1440,2
1441,3.8263
1442,2.9814
1443,4.1888
1444,2.4425
1445,3.8447
1446,1.5818
1447,3
1448,1.9932
1449,13.3198
1450,3.0957
1451,1.6003
1452,3.8259
1453,3.1687
1454,2.5135
1455,3.0929
1456,3.7245
1457,1.4834
1458,6.4581
1459,1.4741
1460,5.8111
1461,1.6176
1462,3.2878
1463,2.4069
1464,4.2417
1465,5.8279
1466,6.3892
1467,5.7049
1468,1.6087
1469,3.7286
1470,3.3499
1471,2.8972
1472,5.9568
1473,6.131
1474,2.282
1475,3.5186
1476,2.9582
1477,2.2998
1478,5.7008
1479,1.438
1480,3.2691
1481,3.821
1482,4.0426
1483,2.3378
1484,4.734
1485,6.1274
1486,2.5815
1487,1.4632
1488,7.1438
1489,2.4518
1490,2.3558
1491,2.2349
1492,10.6304
1493,3.1282
1494,5.468
1495,4.3648
1496,4.1016
1497,3.007
1498,5.0936
1499,1.7561
1500,2.0603
1501,2.4125
1502,1.6335
1503,2.5923
1504,2.5879
1505,4.8357
1506,8.5564
1507,3.6773
1508,1.5522
1509,2.8027
1510,3.9706
1511,3.6181
1512,1.6816
1513,3.779
1514,9.28
1515,9.5071
1516,7.772
1517,4.757
1518,2.3549
1519,5.2125
1520,11.901
1521,10.7165
1522,5.1744
1523,5.3701
1524,6.0938
1525,4.8504
1526,5.4881
1527,1.5192
1528,9.4205
1529,5.5304
1530,4.2035
1531,1.7268
1532,1.505
1533,2.5084
1534,2.4985
1535,2.495
1536,2.4849
1537,9.1243
1538,1.345
1539,4.9682
1540,4.3379
1541,2.3672
1542,6.0595
1543,3.2354
1544,3.1927
1545,6.1503
1546,5.2752
1547,7.5142
1548,3.1094
1549,5.7475
1550,2.0222
1551,5.4438
1552,2.1303
1553,1.9788
1554,2.0082
1555,3.7614
1556,4.7315
1557,2.9885
1558,2.3791
1559,2
1560,2
1561,2.2559
1562,2.2437
1563,2.2471
1564,2.263
1565,2.2518
1566,2.2287
1567,2.6741
1568,4.5672
1569,6.4371
1570,8.6461
1571,1.445
1572,5.2479
1573,2.0641
1574,2.1231
1575,3.7879
1576,3.5628
1577,1.598
1578,3.5752
1579,4.1397
1580,1.7246
1581,2
1582,2
1583,3.8071
1584,4.9242
1585,3.5232
1586,1.6946
1587,10.3463
1588,2.0184
1589,9.3192
1590,2.7175
1591,3.5628
1592,3.2918
1593,3.503
1594,6.978
1595,1.3192
1596,4.0944
1597,6.5572
1598,3.3634
1599,10.1619
1600,3.4225
1601,1.6264
1602,2.5158
1603,1.9648
1604,1.9864
1605,4
1606,2.9459
1607,4.253
1608,1.911
1609,5.5109
1610,6.7064
1611,3.9017
1612,2.3061
1613,2.3017
1614,3.5111
1615,3.1431
1616,3.1592
1617,7.9644
1618,2.6305
1619,4.8281
1620,6.2051
1621,2.751
1622,2.2188
1623,2.7764
1624,2.5025
1625,3.043
1626,3.4661
1627,3.4025
1628,1.7723
1629,2.4189
1630,1.6474
1631,2.9055
1632,3.4716
1633,4.8844
1634,5.8846
1635,13.4587
1636,1.4755
1637,6.576
1638,1.2618
1639,6.8015
1640,7.2817
1641,4.6245
1642,3.7201
1643,1.2333
1644,5.2119
1645,9.9626
1646,4.4915
1647,2.8573
1648,3.706
1649,2.8536
1650,3.8466
1651,1.5902
1652,7.382
1653,3.5159
1654,1.529
1655,7.4447
1656,6.9818
1657,7.1414
1658,8.6926
1659,2.0041
1660,2.881
1661,5.838
1662,3.4819
1663,6.0562
1664,4.347
1665,7.0979
1666,4.611
1667,3.0996
1668,1.6758
1669,1.6574
1670,2.6169
1671,4.4968
1672,4.6316
1673,4.1093
1674,1.5555
1675,6.0702
1676,6.6657
1677,4.62
1678,2
1679,2
1680,1.2822
1681,1.4056
1682,3.4685
1683,5.5536
1684,4.6054
1685,3.3076
1686,1.9521
1687,1.7087
1688,4.7101
1689,14.5723
1690,10.9738
1691,5.1908
1692,12.8267
1693,1.4533
1694,2.64
1695,3.8077
1696,1.3729
1697,3.8771
1698,4.7428
1699,2.566
1700,5.1821
1701,2.0834
1702,2.0803
1703,1.4275
1704,2
1705,2
1706,4.3411
1707,3.6233
1708,2.5643
1709,2.5356
1710,4.2562
1711,3.0413
1712,1.7626
1713,3.2457
1714,2.8102
1715,3.1592
1716,3.0973
1717,1.6228
1718,2.2284
1719,2.2492
1720,2.2563
1721,1.3248
1722,2.2239
1723,2.2298
1724,8.0069
1725,3.1163
1726,2.4738
1727,2.9088
1728,5.8163
1729,3.3007
1730,7.2637
1731,9.6191
1732,1.8623
1733,2.2597
1734,2.2628
1735,2.2591
1736,5.2192
1737,1.6293
1738,8.207
1739,2.5161
1740,4.7372
1741,3.3321
1742,2.2632
1743,3.7283
1744,1.5119
1745,1.4871
1746,4.3933
1747,2.6081
1748,4.4105
1749,1.9975
1750,2.0047
1751,4.8638
1752,1.473
1753,1.821
1754,4.3609
1755,8.0137
1756,5.2408
1757,7.6806
1758,8.8209
1759,9.1453
1760,1.3476
1761,2
1762,2
1763,1.4695
1764,8.2069
1765,11.6414
1766,1.6157
1767,3.0694
1768,4.5065
1769,4.8776
1770,2.7122
1771,4.0101
1772,3.0989
1773,6.3822
1774,2.5741
1775,11.0332
1776,5.4797
1777,1.5107
1778,3.4368
1779,1.7665
1780,1.3229
1781,4.3036
1782,4.7368
1783,6.2379
1784,10.0198
1785,1.4078
1786,2.2074
1787,2.7419
1788,2.75
1789,2
1790,2
1791,2.9358
1792,2.007
1793,6.5887
1794,4.1052
1795,5.5634
1796,3.3673
1797,2.2597
1798,2.2496
1799,2.2592
1800,2.2511
1801,2.2442
1802,2.2529
1803,4
1804,2.0047
1805,3.2451
1806,1.7344
1807,1.8008
1808,2.6985
1809,1.9841
1810,8.8347
1811,4.9393
1812,3.0813
1813,1.6233
1814,2.5804
1815,3.7647
1816,4.4413
1817,4.0852
1818,3.5685
1819,2.599
1820,2.5988
1821,3.7428
1822,2
1823,2
1824,5.7284
1825,2.2345
1826,3.3101
1827,10.8324
1828,5.8547
1829,2.5406
1830,5.0296
1831,2.9773
1832,3.9146
1833,2.0215
1834,2
1835,2
1836,1.3973
1837,2.6647
1838,4.1756
1839,1.4312
1840,2.7287
1841,5.4488
1842,6.4338
1843,6.0576
1844,3.2482
1845,1.8329
1846,2.1104
1847,2.0044
1848,3
1849,2.0024
1850,3
1851,5.4405
1852,6.8523
1853,2.3127
1854,5.6544
1855,5.6097
1856,3.5474
1857,4.5232
1858,1.2946
1859,4.4309
1860,2.1289
1861,2
1862,2
1863,2.5402
1864,3.5706
1865,1.9496
1866,2.947
1867,2.8242
1868,5.5155
1869,12.8912
1870,6.2111
1871,1.4282
1872,2
1873,2
1874,3.54
1875,2.0276
1876,1.4646
1877,6.1198
1878,1.7619
1879,5.4659
1880,3.9413
1881,3.9601
1882,2.5396
1883,2.1376
1884,1.4569
1885,4.2244
1886,5.2293
1887,5.2049
1888,7.4667
1889,3.6716
1890,10.3005
1891,2.7801
1892,1.7953
1893,1.7775
1894,4.8418
1895,2.5859
1896,1.7337
1897,4.1388
1898,2.1644
1899,2.468
1900,2.4735
1901,3.2479
1902,3.4099
1903,1.7107
1904,5.5103
1905,1.7447
1906,3.2587
1907,2
1908,2
1909,2.3717
1910,3.0798
1911,3.1999
1912,6.7641
1913,3.6508
1914,2.2456
1915,2.2542
1916,2.2576
1917,3.2163
1918,3.1966
1919,1.8545
1920,2.2548
1921,2.2614
1922,2.2472
1923,1.3914
1924,3.2619
1925,1.7485
1926,2.4076
